User 19%, System 36%, IOW 0%, IRQ 0%
User 15 + Nice 0 + Sys 28 + Idle 33 + IOW 0 + IRQ 0 + SIRQ 0 = 76

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
30459 system   20   0   0% S    13 1819968K  41028K  bg com.samsung.SMT
30479 u0_a54   20   0   0% S    19 2383004K  56376K  bg com.sec.android.app.music:main
30493 u0_a32   20   0   0% S    21 2373228K  56848K  bg com.sec.android.app.samsungapps
30553 u0_a54   20   0   0% S    18 2381868K  55008K  bg com.sec.android.app.music
30658 u0_a140  20   0   0% S    13 1231876K  32364K  bg com.android.chrome:webview_service
30721 root      0 -20   0% S     1      0K      0K  fg kbase_event
30762 root     20   0   0% S     1      0K      0K  fg kworker/7:1
30910 root     20   0   0% S     1      0K      0K  fg kworker/5:1
30954 u0_a319  20   0   0% S    25 1273704K  47392K  bg org.chromium.webapk.a285ef6957e7ab3a8
30976 root      0 -20   0% S     1      0K      0K  fg kbase_event
31268 root      0 -20   0% S     1      0K      0K  fg kworker/3:1H
27697 root      0 -20   0% S     1      0K      0K  fg kworker/4:3H
    2 root     20   0   0% S     1      0K      0K  fg kthreadd
    3 root     20   0   0% S     1      0K      0K  fg ksoftirqd/0
    7 root     RT   0   0% S     1      0K      0K  fg migration/0
    8 root     20   0   0% S     1      0K      0K  fg rcu_preempt
    9 root     20   0   0% S     1      0K      0K  fg rcu_bh
   10 root     20   0   0% S     1      0K      0K  fg rcu_sched
   11 root     RT   0   0% S     1      0K      0K  fg watchdog/0
   12 root     RT   0   0% S     1      0K      0K  fg watchdog/1
   13 root     RT   0   0% S     1      0K      0K  fg migration/1
   14 root     20   0   0% S     1      0K      0K  fg ksoftirqd/1
